2000;1;0,094038;0,011002;1
2000;2;0,098027;0,013799;0,797304152
2000;3;0,092833;0,008575;1,28303207
2000;4;0,09364;0,009027;1,21878808
2000;5;0,089737;0,006836;1,609420714
2000;6;0,091881;0,008768;1,254790146
2000;7;0,092348;0,008933;1,23161312
2000;8;0,092637;0,010093;1,090062419
2000;9;0,09105;0,008431;1,304946032
2000;10;0,092926;0,009067;1,213411272
2000;11;0,096277;0,010848;1,014196165
2000;12;0,096722;0,010828;1,01606945
2000;13;0,098248;0,012311;0,893672326
2000;14;0,095511;0,010865;1,012609296
2000;15;0,09471;0,010052;1,094508556
2000;16;0,09183;0,008716;1,262276274
2000;17;0,091659;0,008456;1,301087985
2000;18;0,096502;0,010929;1,006679477
;;;
;;;
4000;1;0,375215;0,049068;1
4000;2;0,367107;0,038949;1,259801279
4000;3;0,356537;0,030372;1,61556697
4000;4;0,356736;0,028551;1,718608805
4000;5;0,34914;0,021136;2,321536715
4000;6;0,356086;0,02765;1,774611212
4000;7;0,356555;0,02942;1,667845003
4000;8;0,363693;0,035316;1,389398573
4000;9;0,357667;0,029611;1,657086893
4000;10;0,355857;0,027028;1,815450644
4000;11;0,369118;0,030344;1,617057738
4000;12;0,360544;0,032652;1,50275634
4000;13;0,358051;0,029828;1,645031514
4000;14;0,366542;0,03394;1,445727755
4000;15;0,360853;0,032606;1,504876403
4000;16;0,359956;0,031753;1,545302806
4000;17;0,359636;0,031934;1,536544122
4000;18;0,361506;0,032304;1,518945022
;;;
;;;
8000;1;1,495801;0,199513;1
8000;2;1,443121;0,149956;1,33047694
8000;3;1,427726;0,123039;1,621542763
8000;4;1,393077;0,094311;2,115479637
8000;5;1,383242;0,083829;2,379999761
8000;6;1,461995;0,120643;1,653747006
8000;7;1,431922;0,13378;1,491351473
8000;8;1,446412;0,147695;1,350844646
8000;9;1,432444;0,131958;1,511943194
8000;10;1,430727;0,131764;1,514169272
8000;11;1,438722;0,141272;1,412261453
8000;12;1,443381;0,145208;1,373980772
8000;13;1,434134;0,135288;1,474727988
8000;14;1,409341;0,110648;1,803132456
8000;15;1,417716;0,116129;1,718029088
8000;16;1,418645;0,119976;1,662940922
8000;17;1,408808;0,11101;1,7972525
8000;18;1,414065;0,115434;1,728372923
;;;
;;;
16000;1;5,959364;0,777783;1
16000;2;5,766365;0,591161;1,315687266
16000;3;5,644401;0,450805;1,72532026
16000;4;5,552169;0,370677;2,098276937
16000;5;5,499419;0,319118;2,437289655
16000;6;5,636545;0,456041;1,705511127
16000;7;5,711082;0,522909;1,487415592
16000;8;5,745474;0,568343;1,368509861
16000;9;5,719851;0,538641;1,443972887
16000;10;5,681239;0,503285;1,545412639
16000;11;5,720173;0,536238;1,450443646
16000;12;5,746104;0,564499;1,377828836
16000;13;5,701012;0,525813;1,479200781
16000;14;5,695779;0,517108;1,504101658
16000;15;5,730835;0,557247;1,39575987
16000;16;5,752358;0,574082;1,354829101
16000;17;5,721367;0,538341;1,444777567
16000;18;5,743253;0,56049;1,387683991
;;;
;;;
32000;1;23,884482;3,160547;1
32000;2;23,081297;2,364271;1,33679557
32000;3;22,491665;1,763514;1,792187076
32000;4;22,149081;1,433569;2,204670302
32000;5;21,932672;1,231709;2,565985147
32000;6;22,552271;1,840494;1,717227549
32000;7;22,792977;2,084046;1,516543781
32000;8;22,999167;2,282457;1,384712615
32000;9;22,739914;2,045034;1,545474061
32000;10;22,680404;1,985216;1,592041874
32000;11;22,872516;2,141113;1,476123399
32000;12;22,941779;2,241071;1,41028419
32000;13;22,760171;2,054419;1,538414024
32000;14;22,866998;2,133757;1,481212247
32000;15;22,9023;2,180652;1,449358724
32000;16;22,953007;2,260497;1,398164651
32000;17;22,824148;2,120804;1,490258883
32000;18;22,955716;2,245981;1,407201129
;;;
;;;
40000;1;37,238265;4,833836;1
40000;2;36,180077;3,802396;1,271260542
40000;3;35,156027;2,766099;1,747528198
40000;4;34,594502;2,228353;2,169241588
40000;5;34,346068;1,96433;2,460806484
40000;6;35,287712;2,853474;1,694017888
40000;7;35,636862;3,262226;1,481760001
40000;8;35,967685;3,583195;1,349029567
40000;9;36,128063;3,315784;1,457825962
40000;10;35,471085;3,103846;1,557369792
40000;11;35,6946;3,331124;1,451112597
40000;12;35,92297;3,531838;1,368646014
40000;13;35,617755;3,25122;1,486776041
