"2000x2000","1","0,079702","0,032055",
"2000x2000","2","0,063238","0,016301",
"2000x2000","3","0,057659","0,010859",
"2000x2000","6","0,052115","0,005563",
"2000x2000","9","0,050662","0,003842",
"2000x2000","12","0,049696","0,003007",
"2000x2000","15","0,049273","0,002536",
"2000x2000","18","0,04872","0,002242",
"4000x4000","1","0,312737","0,128365",
"4000x4000","2","0,250284","0,064996",
"4000x4000","3","0,233109","0,043566",
"4000x4000","6","0,210894","0,021965",
"4000x4000","9","0,203881","0,01484",
"4000x4000","12","0,199789","0,011295",
"4000x4000","15","0,195604","0,009181",
"4000x4000","18","0,193143","0,007852",
"8000x8000","1","1,24587","0,513546",
"8000x8000","2","0,994245","0,260846",
"8000x8000","3","0,912747","0,173127",
"8000x8000","6","0,82147","0,08692",
"8000x8000","9","0,799512","0,058158",
"8000x8000","12","0,777942","0,04396",
"8000x8000","15","0,76811","0,035324",
"8000x8000","18","0,76787","0,029592",
"16000x16000","1","4,950792","2,049721",
"16000x16000","2","3,932234","1,043241",
"16000x16000","3","3,595875","0,697236",
"16000x16000","6","3,246639","0,347597",
"16000x16000","9","3,118544","0,231234",
"16000x16000","12","3,059101","0,17373",
"16000x16000","15","3,03508","0,139174",
"16000x16000","18","2,99985","0,116217",
"32000x32000","1","19,625243","8,184929",
"32000x32000","2","15,591288","4,168456",
"32000x32000","3","14,263612","2,781638",
"32000x32000","6","12,849428","1,394423",
"32000x32000","9","12,36682","0,929459",
"32000x32000","12","12,138683","0,698421",
"32000x32000","15","12,003664","0,562065",
"32000x32000","18","11,902739","0,465905",
"40000x40000","1","31,116707","12,793504",
"40000x40000","2","24,865612","6,484779",
"40000x40000","3","22,70221","4,333135",
"40000x40000","6","20,667195","2,181179",
"40000x40000","9","19,935642","1,449419",
"40000x40000","12","19,457602","1,09045",
"40000x40000","15","19,180929","0,871777",
"40000x40000","18","19,134291","0,730551",
"2000x2000","1","0,08163","0,032128",
"2828x2828","2","0,128008","0,032615",
"3464x3464","3","0,175599","0,032651",
"4898x4898","6","0,318348","0,032761",
"6000x6000","9","0,454835","0,032819",
"6928x6928","12","0,597212","0,032909",
"7745x7745","15","0,730438","0,033088",
"8485x8485","18","0,869281","0,033116",
"2100x2100","1","0,089232","0,035522",
"2969x2969","2","0,140988","0,035943",
"3637x3637","3","0,192248","0,035995",
"5143x5143","6","0,347051","0,036007",
"6300x6300","9","0,501292","0,036301",
"7274x7274","12","0,653497","0,036339",
"8133x8133","15","0,80789","0,036287",
"8909x8909","18","0,954949","0,03647",
"2200x2200","1","0,09762","0,03887",
"3111x3111","2","0,154509","0,039369",
"3810x3810","3","0,212434","0,039477",
"5388x5388","6","0,381252","0,039554",
"6600x6600","9","0,547784","0,039594",
"7621x7621","12","0,714223","0,039701",
"8520x8520","15","0,88863","0,039832",
"9333x9333","18","1,04978","0,039993",
"2300x2300","1","0,106668","0,04276",
"3252x3252","2","0,169549","0,043084",
"3983x3983","3","0,232474","0,043135",
"5633x5633","6","0,414858","0,043148",
"6900x6900","9","0,604144","0,043361",
"7967x7967","12","0,781887","0,043442",
"8907x8907","15","0,965719","0,043544",
"9757x9757","18","1,147166","0,043593",
"2400x2400","1","0,115802","0,046239",
"3394x3394","2","0,183651","0,046856",
"4156x4156","3","0,251512","0,046929",
"5878x5878","6","0,451326","0,046961",
"7200x7200","9","0,651233","0,047047",
"8313x8313","12","0,848058","0,047222",
"9294x9294","15","1,053056","0,047461",
"10182x10182","18","1,252106","0,047537",
"2500x2500","1","0,126171","0,050301",
"3535x3535","2","0,199483","0,050854",
"4330x4330","3","0,27254","0,050979",
"6123x6123","6","0,489794","0,050887",
"7500x7500","9","0,709087","0,051251",
"8660x8660","12","0,927784","0,051534",
"9682x9682","15","1,141032","0,051299",
"10606x10606","18","1,356454","0,051352",
